Gene 1 ID,Protein 1 name,Gene 2 ID,Protein 2 name,Retained DDIs,Lost DDIs,Score,Source of the interaction
ENSG00000049449,RCN1,ENSG00000075415,SLC25A3,-,-,1.0,PPI
ENSG00000037757,MRI1,ENSG00000037757,MRI1,PF01008-PF01008,-,1.0,PPI-DDI
ENSG00000072849,DERL2,ENSG00000068912,ERLEC1,-,-,1.0,PPI
ENSG00000059588,TARBP1,ENSG00000060069,CTDP1,-,-,1.0,PPI
ENSG00000061794,MRPS35,ENSG00000014919,COX15,-,-,1.0,PPI
ENSG00000069424,KCNAB2,ENSG00000069424,KCNAB2,PF00248-PF00248,-,1.0,PPI-DDI
ENSG00000067182,TNFRSF1A,ENSG00000067182,TNFRSF1A,PF00020-PF00020 ; PF00020-PF00531 ; PF00531-PF00020 ; PF00531-PF00531,-,1.0,PPI-DDI
ENSG00000010017,RANBP9,ENSG00000010017,RANBP9,PF00622-PF00622 ; PF08513-PF08513,-,1.0,PPI-DDI
ENSG00000137764,MAP2K5,ENSG00000137764,MAP2K5,PF00069-PF00069 ; PF00069-PF00564 ; PF00564-PF00069 ; PF00564-PF00564,-,1.0,PPI-DDI
ENSG00000070444,MNT,ENSG00000070444,MNT,PF00010-PF00010,-,1.0,PPI-DDI
ENSG00000074410,CA12,ENSG00000074410,CA12,PF00194-PF00194,-,1.0,PPI-DDI
ENSG00000073849,ST6GAL1,ENSG00000073849,ST6GAL1,PF00777-PF00777,-,1.0,PPI-DDI
ENSG00000050344,NFE2L3,ENSG00000050344,NFE2L3,PF03131-PF03131,-,1.0,PPI-DDI
ENSG00000171431,KRT20,ENSG00000171431,KRT20,PF00038-PF00038,-,1.0,PPI-DDI
ENSG00000078668,VDAC3,ENSG00000014919,COX15,-,-,1.0,PPI
ENSG00000078668,VDAC3,ENSG00000075415,SLC25A3,-,-,1.0,PPI
ENSG00000012061,ERCC1,ENSG00000012061,ERCC1,-,PF14520-PF14520 ; PF00633-PF00633,0.0,PPI-DDI
ENSG00000077150,NFKB2,ENSG00000077150,NFKB2,PF16179-PF16179 ; PF16179-PF12796 ; PF16179-PF00554 ; PF12796-PF16179 ; PF12796-PF12796 ; PF00554-PF16179 ; PF00554-PF00554 ; PF00531-PF00531,-,1.0,PPI-DDI
ENSG00000064300,NGFR,ENSG00000064300,NGFR,PF00531-PF00531 ; PF00531-PF00020 ; PF18422-PF18422 ; PF00020-PF00531 ; PF00020-PF00020,-,1.0,PPI-DDI
ENSG00000075415,SLC25A3,ENSG00000072210,ALDH3A2,-,-,1.0,PPI
ENSG00000075415,SLC25A3,ENSG00000014919,COX15,-,-,1.0,PPI
ENSG00000041357,PSMA4,ENSG00000014919,COX15,-,-,1.0,PPI
ENSG00000041357,PSMA4,ENSG00000041357,PSMA4,PF00227-PF00227 ; PF00227-PF10584 ; PF10584-PF00227 ; PF10584-PF10584,-,1.0,PPI-DDI
ENSG00000069998,HDHD5,ENSG00000069998,HDHD5,PF13344-PF13344,-,1.0,PPI-DDI
ENSG00000063241,ISOC2,ENSG00000063241,ISOC2,PF00857-PF00857,-,1.0,PPI-DDI
ENSG00000014919,COX15,ENSG00000011478,QPCTL,-,-,1.0,PPI
ENSG00000004897,CDC27,ENSG00000004897,CDC27,PF00515-PF00515 ; PF00515-PF13181 ; PF12895-PF12895 ; PF12895-PF13181 ; PF13181-PF00515 ; PF13181-PF12895 ; PF13181-PF13181,-,1.0,PPI-DDI
ENSG00000071655,MBD3,ENSG00000071655,MBD3,-,PF01429-PF01429,0.0,PPI-DDI
ENSG00000030582,GRN,ENSG00000057294,PKP2,-,-,1.0,PPI
ENSG00000076826,CAMSAP3,ENSG00000003987,MTMR7,-,-,1.0,PPI
ENSG00000003987,MTMR7,ENSG00000003987,MTMR7,PF06602-PF06602,-,1.0,PPI-DDI
ENSG00000072135,PTPN18,ENSG00000072135,PTPN18,PF00102-PF00102,-,1.0,PPI-DDI
ENSG00000023734,STRAP,ENSG00000023734,STRAP,PF00400-PF00400,-,1.0,PPI-DDI
ENSG00000047932,GOPC,ENSG00000047932,GOPC,PF00595-PF00595,-,1.0,PPI-DDI
