Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
CALM3,NOS2,E7ETZ0,A0A2R8YDS4
CALM3,NOS2,H0Y7A7,A0A2R8YDS4
CALM3,NOS2,P0DP25,A0A2R8YDS4
CALM3,NOS2,Q96HY3,P35228-2
CALM3,NOS2,E7ETZ0,P35228-2
CALM3,NOS2,H0Y7A7,P35228-2
CALM3,NOS2,P0DP25,P35228-2
CALM3,NOS2,Q96HY3,P35228
CALM3,NOS2,E7ETZ0,P35228
CALM3,NOS2,H0Y7A7,P35228
CALM3,NOS2,P0DP25,P35228
CALM3,DLG1,Q96HY3,C9IYP1
CALM3,DLG1,E7ETZ0,C9IYP1
CALM3,DLG1,H0Y7A7,C9IYP1
CALM3,DLG1,P0DP25,C9IYP1
CALM3,DLG4,Q96HY3,O14909
CALM3,DLG4,E7ETZ0,O14909
CALM3,DLG4,H0Y7A7,O14909
CALM3,DLG4,P0DP25,O14909
CALM3,DLG4,Q96HY3,P78352
CALM3,DLG4,E7ETZ0,P78352
CALM3,DLG4,H0Y7A7,P78352
CALM3,DLG4,P0DP25,P78352
CALM3,DLG4,Q96HY3,P78352-3
CALM3,DLG4,E7ETZ0,P78352-3
CALM3,DLG4,H0Y7A7,P78352-3
CALM3,DLG4,P0DP25,P78352-3
CALM3,DLG4,Q96HY3,C9JWP9
CALM3,DLG4,E7ETZ0,C9JWP9
CALM3,DLG4,H0Y7A7,C9JWP9
CALM3,DLG4,P0DP25,C9JWP9
CALM3,SCN5A,Q96HY3,Q14524
CALM3,SCN5A,E7ETZ0,Q14524
CALM3,SCN5A,H0Y7A7,Q14524
CALM3,SCN5A,P0DP25,Q14524
CALM3,SCN5A,Q96HY3,Q14524-2
CALM3,SCN5A,E7ETZ0,Q14524-2
CALM3,SCN5A,H0Y7A7,Q14524-2
CALM3,SCN5A,P0DP25,Q14524-2
CALM3,SCN5A,Q96HY3,K4DIA1
CALM3,SCN5A,E7ETZ0,K4DIA1
CALM3,SCN5A,H0Y7A7,K4DIA1
CALM3,SCN5A,P0DP25,K4DIA1
CALM3,SCN5A,Q96HY3,H9KVD2
CALM3,SCN5A,E7ETZ0,H9KVD2
CALM3,SCN5A,H0Y7A7,H9KVD2
CALM3,SCN5A,P0DP25,H9KVD2
CALM3,SCN5A,Q96HY3,A0A0A0MT39
CALM3,SCN5A,E7ETZ0,A0A0A0MT39
CALM3,SCN5A,H0Y7A7,A0A0A0MT39
CALM3,SCN5A,P0DP25,A0A0A0MT39
CALM3,SCN5A,Q96HY3,E9PHB6
CALM3,SCN5A,E7ETZ0,E9PHB6
CALM3,SCN5A,H0Y7A7,E9PHB6
CALM3,SCN5A,P0DP25,E9PHB6
CALM3,SCN5A,Q96HY3,E9PG18
CALM3,SCN5A,E7ETZ0,E9PG18
CALM3,SCN5A,H0Y7A7,E9PG18
CALM3,SCN5A,P0DP25,E9PG18
CALM3,SCN2A,Q96HY3,Q99250
CALM3,SCN2A,E7ETZ0,Q99250
CALM3,SCN2A,H0Y7A7,Q99250
CALM3,SCN2A,P0DP25,Q99250
CALM3,SCN2A,Q96HY3,Q99250-2
CALM3,SCN2A,E7ETZ0,Q99250-2
CALM3,SCN2A,H0Y7A7,Q99250-2
CALM3,SCN2A,P0DP25,Q99250-2
CALM3,SCN2A,Q96HY3,A0A1B0GWA6
CALM3,SCN2A,E7ETZ0,A0A1B0GWA6
CALM3,SCN2A,H0Y7A7,A0A1B0GWA6
CALM3,SCN2A,P0DP25,A0A1B0GWA6
CALM3,CAMK2D,Q96HY3,H0Y9C2
CALM3,CAMK2D,E7ETZ0,H0Y9C2
CALM3,CAMK2D,H0Y7A7,H0Y9C2
CALM3,CAMK2D,P0DP25,H0Y9C2
CALM3,CAMK2D,Q96HY3,Q13557
CALM3,CAMK2D,E7ETZ0,Q13557
CALM3,CAMK2D,H0Y7A7,Q13557
CALM3,CAMK2D,P0DP25,Q13557
CALM3,CAMK2D,Q96HY3,Q13557-8
CALM3,CAMK2D,E7ETZ0,Q13557-8
CALM3,CAMK2D,H0Y7A7,Q13557-8
CALM3,CAMK2D,P0DP25,Q13557-8
CALM3,CAMK2D,Q96HY3,Q13557-12
CALM3,CAMK2D,E7ETZ0,Q13557-12
CALM3,CAMK2D,H0Y7A7,Q13557-12
CALM3,CAMK2D,P0DP25,Q13557-12
CALM3,CAMK2D,Q96HY3,Q13557-10
CALM3,CAMK2D,E7ETZ0,Q13557-10
CALM3,CAMK2D,H0Y7A7,Q13557-10
CALM3,CAMK2D,P0DP25,Q13557-10
CALM3,CAMK2D,Q96HY3,Q13557-9
CALM3,CAMK2D,E7ETZ0,Q13557-9
CALM3,CAMK2D,H0Y7A7,Q13557-9
CALM3,CAMK2D,P0DP25,Q13557-9
CALM3,CAMK2D,Q96HY3,Q13557-3
CALM3,CAMK2D,E7ETZ0,Q13557-3
CALM3,CAMK2D,H0Y7A7,Q13557-3
CALM3,CAMK2D,P0DP25,Q13557-3
CALM3,CAMK2D,Q96HY3,D6R938
CALM3,CAMK2D,E7ETZ0,D6R938
CALM3,CAMK2D,H0Y7A7,D6R938
CALM3,CAMK2D,P0DP25,D6R938
CALM3,CAMK2D,Q96HY3,E9PF82
CALM3,CAMK2D,E7ETZ0,E9PF82
CALM3,CAMK2D,H0Y7A7,E9PF82
CALM3,CAMK2D,P0DP25,E9PF82
CALM3,CAMK2D,Q96HY3,E9PBG7
CALM3,CAMK2D,E7ETZ0,E9PBG7
CALM3,CAMK2D,H0Y7A7,E9PBG7
CALM3,CAMK2D,P0DP25,E9PBG7
CALM3,CAMK1,Q96HY3,H7C071
CALM3,CAMK1,E7ETZ0,H7C071
CALM3,CAMK1,H0Y7A7,H7C071
CALM3,CAMK1,P0DP25,H7C071
CALM3,CAMK1,Q96HY3,Q14012
CALM3,CAMK1,E7ETZ0,Q14012
CALM3,CAMK1,H0Y7A7,Q14012
CALM3,CAMK1,P0DP25,Q14012
CALM3,ORAI2,Q96HY3,C9J5L2
CALM3,ORAI2,P0DP25,C9J5L2
CALM3,ORAI1,Q96HY3,Q96D31
CALM3,ORAI1,P0DP25,Q96D31
CALM3,MYLK2,Q96HY3,Q9H1R3
CALM3,MYLK2,E7ETZ0,Q9H1R3
CALM3,MYLK2,H0Y7A7,Q9H1R3
CALM3,MYLK2,P0DP25,Q9H1R3
CALM3,IQCG,Q96HY3,Q9H095
CALM3,IQCG,E7ETZ0,Q9H095
CALM3,IQCG,H0Y7A7,Q9H095
CALM3,IQCG,P0DP25,Q9H095
CALM3,KCNQ1,Q96HY3,P51787-2
CALM3,KCNQ1,E7ETZ0,P51787-2
CALM3,KCNQ1,H0Y7A7,P51787-2
CALM3,KCNQ1,P0DP25,P51787-2
CALM3,KCNQ1,Q96HY3,P51787
CALM3,KCNQ1,E7ETZ0,P51787
CALM3,KCNQ1,H0Y7A7,P51787
CALM3,KCNQ1,P0DP25,P51787
CALM3,KCNQ4,Q96HY3,H0Y6N7
CALM3,KCNQ4,E7ETZ0,H0Y6N7
CALM3,KCNQ4,H0Y7A7,H0Y6N7
CALM3,KCNQ4,P0DP25,H0Y6N7
CALM3,KCNQ4,Q96HY3,P56696-2
CALM3,KCNQ4,E7ETZ0,P56696-2
CALM3,KCNQ4,H0Y7A7,P56696-2
CALM3,KCNQ4,P0DP25,P56696-2
CALM3,KCNQ4,Q96HY3,P56696
CALM3,KCNQ4,E7ETZ0,P56696
CALM3,KCNQ4,H0Y7A7,P56696
CALM3,KCNQ4,P0DP25,P56696
CALM3,KCNN4,Q96HY3,O15554
CALM3,KCNN4,P0DP25,O15554
CALM3,MYO1B,Q96HY3,O43795-2
CALM3,MYO1B,E7ETZ0,O43795-2
CALM3,MYO1B,H0Y7A7,O43795-2
CALM3,MYO1B,P0DP25,O43795-2
CALM3,MYO1B,Q96HY3,O43795
CALM3,MYO1B,E7ETZ0,O43795
CALM3,MYO1B,H0Y7A7,O43795
CALM3,MYO1B,P0DP25,O43795
CALM3,MYO1B,Q96HY3,E9PDF6
CALM3,MYO1B,E7ETZ0,E9PDF6
CALM3,MYO1B,H0Y7A7,E9PDF6
CALM3,MYO1B,P0DP25,E9PDF6
CALM3,MYO1B,Q96HY3,E7EQD9
CALM3,MYO1B,P0DP25,E7EQD9
CALM3,MYO1B,Q96HY3,C9JUP5
CALM3,MYO1B,P0DP25,C9JUP5
CALM3,MYO1B,Q96HY3,C9JYW1
CALM3,MYO1B,P0DP25,C9JYW1
CALM3,PPP3CB,Q96HY3,P16298
CALM3,PPP3CB,E7ETZ0,P16298
CALM3,PPP3CB,H0Y7A7,P16298
CALM3,PPP3CB,P0DP25,P16298
CALM3,PPP3CB,Q96HY3,P16298-4
CALM3,PPP3CB,E7ETZ0,P16298-4
CALM3,PPP3CB,H0Y7A7,P16298-4
CALM3,PPP3CB,P0DP25,P16298-4
CALM3,PPP3CB,Q96HY3,P16298-3
CALM3,PPP3CB,E7ETZ0,P16298-3
CALM3,PPP3CB,H0Y7A7,P16298-3
CALM3,PPP3CB,P0DP25,P16298-3
CALM3,PPP3CA,Q96HY3,Q08209
CALM3,PPP3CA,E7ETZ0,Q08209
CALM3,PPP3CA,H0Y7A7,Q08209
CALM3,PPP3CA,P0DP25,Q08209
CALM3,PPP3CA,Q96HY3,Q08209-3
CALM3,PPP3CA,E7ETZ0,Q08209-3
CALM3,PPP3CA,H0Y7A7,Q08209-3
CALM3,PPP3CA,P0DP25,Q08209-3
CALM3,PPP3CA,Q96HY3,Q08209-2
CALM3,PPP3CA,E7ETZ0,Q08209-2
CALM3,PPP3CA,H0Y7A7,Q08209-2
CALM3,PPP3CA,P0DP25,Q08209-2
CALM3,PPP3CA,Q96HY3,E7ETC2
CALM3,PPP3CA,E7ETZ0,E7ETC2
CALM3,PPP3CA,H0Y7A7,E7ETC2
CALM3,PPP3CA,P0DP25,E7ETC2
CALM3,PPP3CB,Q96HY3,Q5F2F8
CALM3,PPP3CB,E7ETZ0,Q5F2F8
CALM3,PPP3CB,H0Y7A7,Q5F2F8
CALM3,PPP3CB,P0DP25,Q5F2F8
CALM3,AL590132.1,Q96HY3,A0A1W2PS62
CALM3,AL590132.1,E7ETZ0,A0A1W2PS62
CALM3,AL590132.1,H0Y7A7,A0A1W2PS62
CALM3,AL590132.1,P0DP25,A0A1W2PS62
CALM3,KCNQ5,Q96HY3,A0A0A0MSC0
CALM3,KCNQ5,E7ETZ0,A0A0A0MSC0
CALM3,KCNQ5,H0Y7A7,A0A0A0MSC0
CALM3,KCNQ5,P0DP25,A0A0A0MSC0
CALM3,KCNQ5,Q96HY3,A0A0A0MRC8
CALM3,KCNQ5,E7ETZ0,A0A0A0MRC8
CALM3,KCNQ5,H0Y7A7,A0A0A0MRC8
CALM3,KCNQ5,P0DP25,A0A0A0MRC8
CALM3,KCNQ5,Q96HY3,Q9NR82
CALM3,KCNQ5,E7ETZ0,Q9NR82
CALM3,KCNQ5,H0Y7A7,Q9NR82
CALM3,KCNQ5,P0DP25,Q9NR82
CALM3,KCNQ5,Q96HY3,Q9NR82-6
CALM3,KCNQ5,E7ETZ0,Q9NR82-6
CALM3,KCNQ5,H0Y7A7,Q9NR82-6
CALM3,KCNQ5,P0DP25,Q9NR82-6
CALM3,KCNQ5,Q96HY3,Q9NR82-2
CALM3,KCNQ5,E7ETZ0,Q9NR82-2
CALM3,KCNQ5,H0Y7A7,Q9NR82-2
CALM3,KCNQ5,P0DP25,Q9NR82-2
CALM3,KCNQ5,Q96HY3,A0A0A0MSD9
CALM3,KCNQ5,E7ETZ0,A0A0A0MSD9
CALM3,KCNQ5,H0Y7A7,A0A0A0MSD9
CALM3,KCNQ5,P0DP25,A0A0A0MSD9
CALM3,KCNQ5,Q96HY3,F8WEA4
CALM3,KCNQ5,E7ETZ0,F8WEA4
